name,qty,value
Sticker | ScreaM (Foil) | Cologne 2015,7,26733
P250 | Mehndi (Minimal Wear),51,62883
StatTrak™ AK-47 | Elite Build (Minimal Wear),251,153863
AK-47 | Black Laminate (Field-Tested),46,113620
MAC-10 | Neon Rider (Minimal Wear),179,114560
Desert Eagle | Meteorite (Factory New),364,33124
StatTrak™ P90 | Trigon (Field-Tested),62,77748
Five-SeveN | Case Hardened (Minimal Wear),207,220662
AK-47 | Emerald Pinstripe (Factory New),147,119364
MP7 | Nemesis (Minimal Wear),120,84600
AWP | Sun in Leo (Minimal Wear),513,1133217
StatTrak™ P2000 | Pulse (Minimal Wear),85,20400
AK-47 | Elite Build (Minimal Wear),753,149847
MP9 | Sand Dashed (Battle-Scarred),1624,1624
StatTrak™ FAMAS | Pulse (Factory New),36,45936
StatTrak™ Glock-18 | Catacombs (Field-Tested),273,17199
Sawed-Off | Serenity (Factory New),18,4410
AK-47 | Blue Laminate (Field-Tested),467,431041
PP-Bizon | Night Ops (Factory New),148,1036
PP-Bizon | Osiris (Factory New),112,14448
UMP-45 | Urban DDPAT (Minimal Wear),723,723
SCAR-20 | Sand Mesh (Well-Worn),1429,1429
P250 | Mehndi (Field-Tested),35,40880
M249 | Impact Drill (Field-Tested),115,23345
G3SG1 | Orange Kimono (Field-Tested),203,64960
USP-S | Torque (Field-Tested),497,29820
Galil AR | Kami (Field-Tested),45,10305
M4A1-S | Basilisk (Battle-Scarred),72,33768
Sticker | Fnatic | Katowice 2015,104,107328
StatTrak™ Desert Eagle | Crimson Web (Field-Tested),100,130700
USP-S | Night Ops (Factory New),148,6216
StatTrak™ Nova | Koi (Factory New),28,10444
StatTrak™ Dual Berettas | Urban Shock (Factory New),25,19550
AK-47 | Vulcan (Minimal Wear),112,4849712
M4A1-S | Bright Water (Minimal Wear),126,313992
M4A1-S | Basilisk (Minimal Wear),360,220680
StatTrak™ M4A4 | Asiimov (Field-Tested),10,394010
★ Butterfly Knife | Case Hardened (Field-Tested),11,1047079
UMP-45 | Grand Prix (Field-Tested),277,9972
StatTrak™ CZ75-Auto | The Fuschia Is Now (Factory New),2,8804
P90 | Storm (Field-Tested),259,75110
StatTrak™ Five-SeveN | Case Hardened (Battle-Scarred),14,21280
M4A4 | Radiation Hazard (Factory New),2,85414
P90 | Blind Spot (Factory New),24,23952
SSG 08 | Blood in the Water (Minimal Wear),133,521759
StatTrak™ M4A1-S | Basilisk (Field-Tested),304,428640
StatTrak™ UMP-45 | Riot (Minimal Wear),197,10441
AWP | Asiimov (Battle-Scarred),295,2227840
PP-Bizon | Antique (Minimal Wear),40,35440
P2000 | Amber Fade (Well-Worn),25,6025
P250 | Crimson Kimono (Field-Tested),87,1237227
StatTrak™ Desert Eagle | Cobalt Disruption (Factory New),17,241281
M249 | Contrast Spray (Minimal Wear),188,20304
AK-47 | Redline (Minimal Wear),84,969528
StatTrak™ P2000 | Pulse (Field-Tested),178,30794
StatTrak™ Glock-18 | Grinder (Factory New),54,36828
MAG-7 | Metallic DDPAT (Factory New),1527,19851
Music Kit | Robert Allaire, Insurgency,16,3600
StatTrak™ AWP | Asiimov (Well-Worn),22,354222
Sawed-Off | Full Stop (Field-Tested),109,2180
M249 | Gator Mesh (Battle-Scarred),96,384
AK-47 | Fire Serpent (Field-Tested),32,2470592
★ Huntsman Knife | Case Hardened (Field-Tested),10,220160
StatTrak™ M4A4 | Griffin (Battle-Scarred),82,27962
Galil AR | Cerberus (Minimal Wear),80,290720
★ Bayonet | Night (Minimal Wear),7,187481
M4A1-S | VariCamo (Field-Tested),263,13413
StatTrak™ G3SG1 | Murky (Field-Tested),12,1572
Negev | Army Sheen (Factory New),1343,2686
StatTrak™ CZ75-Auto | Hexane (Minimal Wear),19,10279
Chroma 2 Case,7597,1587773
M4A4 | Desert-Strike (Minimal Wear),60,24600
StatTrak™ SSG 08 | Abyss (Field-Tested),390,26130
AK-47 | Case Hardened (Factory New),35,1207465
USP-S | Forest Leaves (Well-Worn),137,685
StatTrak™ Desert Eagle | Heirloom (Minimal Wear),8,13216
StatTrak™ AUG | Torque (Factory New),75,111150
Glock-18 | Catacombs (Factory New),151,5889
PP-Bizon | Chemical Green (Well-Worn),48,9696
USP-S | Orion (Field-Tested),49,236915
Negev | Terrain (Minimal Wear),161,9177
ESL One Cologne 2014 Legends,175,1571150
P90 | Ash Wood (Factory New),178,2314
M4A4 | Tornado (Field-Tested),73,31171
XM1014 | Urban Perforated (Field-Tested),39,10920
M249 | System Lock (Field-Tested),140,3080
Operation Vanguard Weapon Case,2734,604214
★ Flip Knife | Marble Fade (Factory New),15,641025
M4A4 | Urban DDPAT (Field-Tested),1941,19410
AWP | Elite Build (Field-Tested),299,460161
P90 | Teardown (Field-Tested),144,2736
USP-S | Blueprint (Field-Tested),287,113939
Sealed Graffiti | X-Knives (Princess Pink),544,544
M4A1-S | Boreal Forest (Battle-Scarred),486,1944
SG 553 | Waves Perforated (Well-Worn),1120,3360
AUG | Contractor (Minimal Wear),1695,1695
AUG | Storm (Minimal Wear),487,487
PP-Bizon | Urban Dashed (Minimal Wear),1586,1586
SCAR-20 | Carbon Fiber (Factory New),742,9646
AK-47 | Safari Mesh (Well-Worn),233,1631
Sealed Graffiti | Bling (Tiger Orange),672,672
Sealed Graffiti | QQ (Cash Green),600,600
PP-Bizon | Osiris (Minimal Wear),210,16800
Sealed Graffiti | Eco (SWAT Blue),351,351
Souvenir P250 | Bone Mask (Well-Worn),21,1197
P90 | Ash Wood (Minimal Wear),233,2796
XM1014 | Blue Spruce (Battle-Scarred),2835,2835
SG 553 | Cyrex (Field-Tested),100,46300
USP-S | Lead Conduit (Minimal Wear),173,22144
Sawed-Off | Snake Camo (Field-Tested),946,4730
MP9 | Setting Sun (Field-Tested),25,14525
MP7 | Impire (Minimal Wear),94,25286
P90 | Ash Wood (Field-Tested),305,3355
Nova | Ranger (Well-Worn),106,2544
StatTrak™ CZ75-Auto | Pole Position (Field-Tested),53,3710
StatTrak™ Galil AR | Stone Cold (Battle-Scarred),9,2691
StatTrak™ Dual Berettas | Dualing Dragons (Minimal Wear),43,5375
XM1014 | Blue Steel (Field-Tested),496,1488
Sealed Graffiti | Rage Mode (Blood Red),415,415
Sealed Graffiti | Eye Spy (Dust Brown),580,580
Sealed Graffiti | 8-Ball (Brick Red),727,1454
StatTrak™ SSG 08 | Slashed (Well-Worn),125,20375
USP-S | Blueprint (Minimal Wear),246,194586
XM1014 | Tranquility (Field-Tested),24,13056
MAG-7 | SWAG-7 (Field-Tested),43,1118
StatTrak™ Five-SeveN | Flame Test (Battle-Scarred),20,180
CZ75-Auto | Pole Position (Field-Tested),180,7380
AK-47 | Point Disarray (Factory New),33,131142
Sealed Graffiti | Ninja (Frog Green),475,475
